MobileID,Brand,MobileURL,MobileName,Price,ImageURL
B085H7Y66P,Lenovo,https://www.amazon.in/Lenovo-K10-Plus-64-Black/dp/B085H7Y66P/ref=sr_1_7?crid=32G5SEL0OZI0O&dchild=1&keywords=lenovo+smartphone&qid=1605586899&refinements=p_89%3ALenovo&rnid=3837712031&s=electronics&sprefix=Lenovo+sma%2Celectronics%2C292&sr=1-7,Lenovo K10 Plus 4/64 Black,12800,https://m.media-amazon.com/images/I/21s-DiHAigL._AC_UY218_.jpg
B086KCDPMR,Oppo,https://www.amazon.in/Oppo-Twilight-Storage-Additional-Exchange/dp/B086KCDPMR/ref=sr_1_1?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-1,Oppo A52 ,13990,https://m.media-amazon.com/images/I/71FPmXaDfbL._AC_UY218_.jpg
B08444SXZ6,Oppo,https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_2?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-2,Oppo A31 ,11990,https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg
B07PP2K69Z,Oppo,https://www.amazon.in/Black-Storage-Additional-Exchange-Offers/dp/B07PP2K69Z/ref=sr_1_3?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-3,OPPO A5S ,8990,https://m.media-amazon.com/images/I/71ZU4VsevqL._AC_UY218_.jpg
B07SDPJ4XJ,Oppo,https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPJ4XJ/ref=sr_1_4?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-4,OPPO A5 2020 ,11990,https://m.media-amazon.com/images/I/71wPwmxo2NL._AC_UY218_.jpg
B089MTKP2P,Oppo,https://www.amazon.in/Fancy-Storage-Additional-Exchange-Offers/dp/B089MTKP2P/ref=sr_1_6?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-6,OPPO A53 ,12990,https://m.media-amazon.com/images/I/71QJyXZYPuL._AC_UY218_.jpg
B086KCD5YS,Oppo,https://www.amazon.in/Stream-Storage-Additional-Exchange-Offers/dp/B086KCD5YS/ref=sr_1_8?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-8,OPPO A52 ,13990,https://m.media-amazon.com/images/I/71RadpHBLhL._AC_UY218_.jpg
B086KF4FYC,Oppo,https://www.amazon.in/OPPO-Storage-Additional-Exchange-Offers/dp/B086KF4FYC/ref=sr_1_10?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-10,OPPO A11K ,8490,https://m.media-amazon.com/images/I/714cFMW8okL._AC_UY218_.jpg
B089MS6FB8,Oppo,https://www.amazon.in/OPPO-Matte-128GB-Storage-Diwali/dp/B089MS6FB8/ref=sr_1_12?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-12,OPPO F17 Pro ,23990,https://m.media-amazon.com/images/I/71h97ujlQVL._AC_UY218_.jpg
B08445GY29,Oppo,https://www.amazon.in/Test-TST_Exclusive1018-Exclusive-1018/dp/B08445GY29/ref=sr_1_13?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-13,OPPO A15 ,9990,https://m.media-amazon.com/images/I/71y3aWvOucL._AC_UY218_.jpg
B08444XVNP,Oppo,https://www.amazon.in/Fantasy-Storage-Additional-Exchange-Offers/dp/B08444XVNP/ref=sr_1_14?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-14,OPPO A31 ,12490,https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg
